sample_id,method,target_garment,stripe_type,fdi,c_gov,curv,periodicity,category,source_group,source_file,source_note,source_url,image_path
mmvto_posed9_vertical,M&M VTO,Short-sleeve shirt with vertical woven-look stripes,multicolour vertical stripe,8.5,0.081,0.0194,1.0,LR,manual_diversity_replacement,mmvto_posed_garment_vto_9.jpg,"M&M VTO official project-page posed-garment result, manually cropped clean output",https://mmvto.github.io/static/images/posed_garment_vto/9.jpg,not_released_due_to_third_party_permissions
gp_worldcup_02,GP-VTON,Argentina-style football jersey with broad vertical stripes,broad vertical sports stripe,18.88,0.1813,0.0406,1.0,IS,gp_worldcup,gp_worldcup_vton.png,GP-VTON README official qualitative example,https://raw.githubusercontent.com/xiezhy6/GP-VTON/main/figures/worldcup_vton.png,not_released_due_to_third_party_permissions
gp_worldcup_03,GP-VTON,Argentina-style football jersey with broad vertical stripes,broad vertical sports stripe,21.26,0.2033,0.0471,1.0,IS,gp_worldcup,gp_worldcup_vton.png,GP-VTON README official qualitative example,https://raw.githubusercontent.com/xiezhy6/GP-VTON/main/figures/worldcup_vton.png,not_released_due_to_third_party_permissions
gp_worldcup_04,GP-VTON,Argentina-style football jersey with broad vertical stripes,broad vertical sports stripe,29.01,0.2726,0.0734,1.0,IS,gp_worldcup,gp_worldcup_vton.png,GP-VTON README official qualitative example,https://raw.githubusercontent.com/xiezhy6/GP-VTON/main/figures/worldcup_vton.png,not_released_due_to_third_party_permissions
gp_worldcup_05,GP-VTON,Argentina-style football jersey with broad vertical stripes,broad vertical sports stripe,18.82,0.1761,0.044,0.975,IS,gp_worldcup,gp_worldcup_vton.png,GP-VTON README official qualitative example,https://raw.githubusercontent.com/xiezhy6/GP-VTON/main/figures/worldcup_vton.png,not_released_due_to_third_party_permissions
mmvto_posed11_orange,M&M VTO,Orange polo shirt with broad horizontal stripe repeats,broad horizontal stripe,35.12,0.3247,0.0778,0.943,VI,manual_diversity_replacement,mmvto_posed_garment_vto_11.jpg,"M&M VTO official project-page posed-garment result, manually cropped clean output",https://mmvto.github.io/static/images/posed_garment_vto/11.jpg,not_released_due_to_third_party_permissions
dci_row3_02,PF-AFN,Multicolour horizontal striped knit top,multicolour horizontal stripe,25.62,0.2453,0.0564,1.0,IS,dci_page11_row3,dci_supp_page11.png,"DCI-VTON paper supplementary, Figure 1 row 3",https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
mmvto_layflat7_blue_diag,M&M VTO,Blue-white asymmetric striped knit top,diagonal broad stripe,20.58,0.1916,0.0542,0.995,IS,manual_diversity_replacement,mmvto_layflat_garment_vto_7.jpg,"M&M VTO official project-page lay-flat garment result, manually cropped clean output",https://mmvto.github.io/static/images/layflat_garment_vto/7.jpg,not_released_due_to_third_party_permissions
gp_vton_orange_horizontal,GP-VTON,Orange-white horizontal striped knit top,medium horizontal stripe,35.22,0.3239,0.1022,1.0,VI,manual_diversity_replacement,gp_vton_page7_300dpi.png,"GP-VTON public paper, qualitative comparison on page 7, manually cropped clean output",https://arxiv.org/pdf/2303.13756,not_released_due_to_third_party_permissions
dci_row3_05,PaintByExample,Multicolour horizontal striped knit top,multicolour horizontal stripe,27.62,0.2654,0.0588,1.0,IS,dci_page11_row3,dci_supp_page11.png,"DCI-VTON paper supplementary, Figure 1 row 3",https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
mmvto_women1_graystripe,M&M VTO,Grey sweater with dark horizontal stripe repeats,medium horizontal sweater stripe,18.2,0.1843,0.0215,1.0,IS,manual_diversity_replacement,mmvto_person_identity_women1_4.jpg,"M&M VTO official project-page person-identity result, manually cropped clean output",https://mmvto.github.io/static/images/person_identity/women1_4.jpg,not_released_due_to_third_party_permissions
mmvto_women2_navstripe,M&M VTO,Cream sweater with navy horizontal stripe repeats,bold horizontal sweater stripe,10.93,0.1083,0.0171,1.0,LR,manual_diversity_replacement,mmvto_person_identity_women2_4.jpg,"M&M VTO official project-page person-identity result, manually cropped clean output",https://mmvto.github.io/static/images/person_identity/women2_4.jpg,not_released_due_to_third_party_permissions
gp_worldcup_06_replacement,GP-VTON,Argentina-style football jersey with broad vertical stripes,broad vertical sports stripe,29.76,0.2776,0.0792,1.0,IS,manual_diversity_replacement,gp_worldcup_vton.png,"GP-VTON README official qualitative example, manually cropped clean output",https://raw.githubusercontent.com/xiezhy6/GP-VTON/main/figures/worldcup_vton.png,not_released_due_to_third_party_permissions
ladi_vton_fine_horizontal,LaDI-VTON,White-black fine horizontal striped top,fine horizontal stripe,15.1,0.1431,0.0361,1.0,IS,manual_diversity_replacement,ladi_vton_page15_300dpi.png,"LaDI-VTON public paper, qualitative comparison on page 15, manually cropped clean output",https://arxiv.org/pdf/2305.13501,not_released_due_to_third_party_permissions
dci_row4_04,HR-VITON,Multicolour vertical striped dress,multicolour vertical stripe,30.69,0.285,0.0839,1.0,VI,dci_page12_row4,dci_supp_page12.png,"DCI-VTON paper supplementary, Figure 2 row 4",https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
dci_row4_05,PaintByExample,Multicolour vertical striped dress,multicolour vertical stripe,31.06,0.2719,0.1156,1.0,VI,dci_page12_row4,dci_supp_page12.png,"DCI-VTON paper supplementary, Figure 2 row 4",https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
dci_row4_06,DCI-VTON,Multicolour vertical striped dress,multicolour vertical stripe,17.1,0.1553,0.0532,1.0,IS,dci_page12_row4,dci_supp_page12.png,"DCI-VTON paper supplementary, Figure 2 row 4",https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
idm_row1_01,GP-VTON,Black-white horizontal striped tank top,fine horizontal stripe,14.43,0.122,0.0352,0.812,LR,idm_qualcmp_row1,idm_qualcmp_2.png,"IDM-VTON project-page qualitative comparison, row 1",https://idm-vton.github.io/,not_released_due_to_third_party_permissions
gp_vton_fine_stripe_tank,GP-VTON,White-black fine horizontal striped tank top,fine horizontal stripe,20.17,0.1892,0.0516,1.0,IS,manual_diversity_replacement,gp_vton_page7_300dpi.png,"GP-VTON public paper, qualitative comparison on page 7, manually cropped clean output",https://arxiv.org/pdf/2303.13756,not_released_due_to_third_party_permissions
idm_row1_03,DCI-VTON,Black-white horizontal striped tank top,fine horizontal stripe,10.42,0.0981,0.0259,1.0,LR,idm_qualcmp_row1,idm_qualcmp_2.png,"IDM-VTON project-page qualitative comparison, row 1",https://idm-vton.github.io/,not_released_due_to_third_party_permissions
idm_row1_04,StableVITON,Black-white horizontal striped tank top,fine horizontal stripe,10.13,0.0957,0.0247,1.0,LR,idm_qualcmp_row1,idm_qualcmp_2.png,"IDM-VTON project-page qualitative comparison, row 1",https://idm-vton.github.io/,not_released_due_to_third_party_permissions
idm_vton_crossing_stripe,IDM-VTON,Red-blue crossing-stripe top,crossing stripe,21.99,0.1988,0.0701,1.0,IS,manual_diversity_replacement,idm_qualcmp_3.png,"IDM-VTON official project-page qualitative comparison, manually cropped clean output",https://idm-vton.github.io/,not_released_due_to_third_party_permissions
gardiff_horizontal_top,GarDiff,White-black horizontal striped top,medium horizontal stripe,28.53,0.2612,0.085,1.0,IS,manual_diversity_replacement,gardiff_page11_300dpi.png,"GarDiff ECCV 2024 public paper, qualitative comparison on page 11, manually cropped clean output",https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06545.pdf,not_released_due_to_third_party_permissions
vton360_rugby_stripe,VTON360,Rugby-style shirt with broad horizontal bands,broad horizontal sports stripe,21.31,0.2007,0.0531,1.0,IS,manual_diversity_replacement,vton360_qualitative_comparison_1_frame277.jpg,"VTON360 official project-page qualitative-comparison video frame, Ours column, manually cropped clean output",https://scnuhealthy.github.io/VTON360/videos/Qualitative_comparison_1.mp4,not_released_due_to_third_party_permissions
stableviton_public_01,StableVITON,Black-white horizontal stripe top,bold horizontal stripe,20.94,0.1671,0.0424,0.654,IS,manual_replacement,subject1_runway_female.png,StableVITON official project-page striped-garment example,https://rlawjdghek.github.io/StableVITON/,not_released_due_to_third_party_permissions
stableviton_public_02,StableVITON,Black-white horizontal stripe top,bold horizontal stripe,20.73,0.2001,0.0425,1.0,IS,manual_replacement,subject2_stage_male.png,StableVITON official project-page striped-garment example,https://rlawjdghek.github.io/StableVITON/,not_released_due_to_third_party_permissions
idm_row1_06_replacement,IDM-VTON,Black-white horizontal striped tank top,fine horizontal stripe,10.65,0.0963,0.0268,0.934,LR,manual_replacement,idm_qualcmp_2.png,"IDM-VTON project-page qualitative comparison, row 1, IDM-VTON column, manually cropped clean output",https://idm-vton.github.io/,not_released_due_to_third_party_permissions
stableviton_public_04,StableVITON,Black-white horizontal stripe top,bold horizontal stripe,27.77,0.2265,0.0592,0.71,IS,manual_replacement,subject4_event_female.png,StableVITON official project-page striped-garment example,https://rlawjdghek.github.io/StableVITON/,not_released_due_to_third_party_permissions
stableviton_public_05,StableVITON,Black-white horizontal stripe top,bold horizontal stripe,26.89,0.2515,0.0702,1.0,IS,manual_replacement,subject5_redcarpet_male.png,StableVITON official project-page striped-garment example,https://rlawjdghek.github.io/StableVITON/,not_released_due_to_third_party_permissions
dci_teaser_ours,DCI-VTON,Multicolour horizontal striped top,fine horizontal stripe,9.21,0.0843,0.0187,0.908,LR,manual_replacement,dci_teaser.jpg,DCI-VTON official teaser panel (c) Ours,https://arxiv.org/pdf/2308.06101.pdf,not_released_due_to_third_party_permissions
